scenario,loop_timestamp,task_completed,replans_done,n_cycles,scene_model,plan_model,sim_model,validator_model,scene_time_mean,plan_time_mean,sim_time_mean,validator_time_mean,n_total_stages,n_pre_matching,n_pre_non_matching,n_post_matching,n_post_non_matching,executed_actions_count,success_rate_general,success_rate_scene,success_rate_plan,success_rate_sim,success_rate_validator
stacked_boxes,2026-04-19_21-22-20,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,7.685866517997056,13.318442937001237,3.4164058540045517,6.136151298165108,3,3,0,3,0,3,,,,,
stacked_boxes,2026-04-19_21-24-33,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,8.034822961999453,11.76463257499563,2.44778163999581,5.827124507669699,3,3,0,3,0,3,,,,,
stacked_boxes,2026-04-19_21-26-26,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,8.925979622996238,10.540663391002454,3.3643078340028296,5.8728558498320735,3,3,0,3,0,3,,,,,
stacked_boxes,2026-04-19_21-27-45,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,8.558461670007091,11.763285645996802,3.9813050879965886,5.697635319497446,3,3,0,3,0,3,,,,,
stacked_boxes,2026-04-19_21-32-58,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,8.582381047501258,11.985293388501304,2.9878859570017084,6.379920635428529,4,3,1,3,0,3,,,,,
stacked_boxes,2026-04-19_21-35-03,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.447001344989985,8.639895059000992,3.1472330169999623,5.944901569668825,3,3,0,3,0,3,,,,,
stacked_boxes,2026-04-19_21-36-25,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.006337703001918,9.578509216000384,3.2883243299947935,5.731812579168036,3,3,0,3,0,3,,,,,
stacked_boxes,2026-04-19_21-37-43,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.12408138000319,14.331361003001803,3.0576298020023387,5.786535035331326,3,3,0,3,0,3,,,,,
stacked_boxes,2026-04-19_21-39-06,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,8.067653637001058,10.488853504997678,3.1629269209952326,5.8590947713346395,3,3,0,3,0,3,,,,,
stacked_boxes,2026-04-19_21-40-17,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,8.07449431999703,10.534350051995716,2.959386114998779,5.67999809266621,3,3,0,3,0,3,,,,,
